# Initial mass = 1.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.651, Mass expelled =   0.3490
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i) 
  v  23   3.253798 -0.706202 -0.001087  6.62863E-08 -6.62936E-12  2.31339E-08
 cr  24   4.915596 -0.724404 -0.019289  3.10538E-06 -3.07864E-10  1.08378E-06
 mn  25   4.774893 -0.705107  0.000007  2.37310E-06 -2.34309E-10  8.28210E-07
 fe  26   6.834886 -0.705114  0.000000  2.76962E-04 -2.74813E-08  9.66596E-05
 co  27   4.164884 -0.705116 -0.000001  6.24874E-07 -6.19025E-11  2.18081E-07
 ni  28   5.494889 -0.705111  0.000004  1.33053E-05 -1.32150E-09  4.64356E-06
 cu  29   3.544886 -0.705114  0.000000  1.61631E-07 -1.60512E-11  5.64092E-08
 zn  30   3.924891 -0.705110  0.000005  3.99097E-07 -3.97051E-11  1.39285E-07
 ga  31   2.374887 -0.705113  0.000001  1.19898E-08 -1.19060E-12  4.18445E-09
 ge  32   2.840511 -0.739489 -0.034374  3.64953E-08 -3.62821E-12  1.27369E-08
 as  33   1.594882 -0.705118 -0.000004  2.13817E-09 -2.13385E-13  7.46221E-10
 se  34   2.590959 -0.749041 -0.043927  2.23314E-08 -2.22400E-12  7.79365E-09
 br  35   1.834894 -0.705106  0.000009  3.96290E-09 -3.94018E-13  1.38305E-09
 kr  36   2.543314 -0.706686 -0.001572  2.12372E-08 -2.10720E-12  7.41178E-09
 rb  37   1.641298 -0.718702 -0.013587  2.71426E-09 -3.04107E-11  9.47278E-10
 sr  38   2.176500 -0.703500  0.001615  9.54232E-09  2.99480E-11  3.33027E-09
  y  39   1.464904 -0.705096  0.000018  1.88098E-09 -1.88571E-13  6.56463E-10
 zr  40   1.824886 -0.705114  0.000001  4.42126E-09 -4.39648E-13  1.54302E-09
 nb  41   0.704895 -0.705105  0.000009  3.41577E-10 -3.40700E-14  1.19210E-10
 mo  42   1.113704 -0.826296 -0.121182  9.04176E-10 -8.99003E-14  3.15557E-10
 ru  44   0.923940 -0.836060 -0.130946  6.15335E-10 -6.10345E-14  2.14752E-10
 rh  45   0.354887 -0.705113  0.000001  1.68997E-10 -1.67227E-14  5.89798E-11
 pd  46   0.885702 -0.764298 -0.059183  5.93301E-10 -5.89251E-14  2.07062E-10
 ag  47   0.494885 -0.705115  0.000000  2.44528E-10 -2.43139E-14  8.53401E-11
 cd  48   0.965165 -0.744835 -0.039721  7.52530E-10 -7.48568E-14  2.62633E-10
 in  49   0.035844 -0.724156 -0.019042  9.04491E-11 -9.00668E-15  3.15667E-11
 sn  50   1.302453 -0.767547 -0.062433  1.72779E-09 -1.71752E-13  6.02997E-10
 sb  51   0.062355 -0.947645 -0.242531  1.01955E-10 -1.00406E-14  3.55824E-11
 te  52   1.007513 -1.172487 -0.467373  9.41702E-10 -9.38416E-14  3.28654E-10
  i  53   0.844880 -0.705120 -0.000005  6.44028E-10 -6.43513E-14  2.24766E-10
 xe  54   1.497804 -0.742196 -0.037082  2.99637E-09 -2.98428E-13  1.04573E-09
 cs  55   0.374886 -0.705114  0.000000  2.28548E-10 -2.28637E-14  7.97631E-11
 ba  56   1.473987 -0.706013 -0.000899  2.96683E-09 -2.94431E-13  1.03542E-09
 la  57   0.464494 -0.705506 -0.000392  2.93606E-10 -2.93932E-14  1.02468E-10
 ce  58   0.872984 -0.707016 -0.001902  7.58615E-10 -7.58837E-14  2.64757E-10
 pr  59   0.054886 -0.705114  0.000000  1.15977E-10 -1.15810E-14  4.04760E-11
 nd  60   0.719884 -0.730116 -0.025002  5.48933E-10 -5.46785E-14  1.91577E-10
 sm  62   0.105177 -0.834823 -0.129709  1.38950E-10 -1.38570E-14  4.84937E-11
 eu  63  -0.195111 -0.705111  0.000003  7.03363E-11 -6.97359E-15  2.45474E-11
 gd  64   0.344887 -0.705113  0.000001  2.52364E-10 -2.51674E-14  8.80751E-11
 tb  65  -0.385110 -0.705110  0.000004  4.74934E-11 -4.74967E-15  1.65752E-11
 dy  66   0.424232 -0.705768 -0.000653  3.13066E-10 -3.11418E-14  1.09260E-10
 ho  67  -0.235114 -0.705114  0.000000  6.96203E-11 -6.97012E-15  2.42975E-11
 er  68   0.207264 -0.712736 -0.007622  1.95526E-10 -1.93803E-14  6.82384E-11
 tm  69  -0.585114 -0.705114  0.000000  3.18531E-11 -3.18322E-15  1.11167E-11
 yb  70   0.153857 -0.766143 -0.061028  1.78877E-10 -1.79301E-14  6.24280E-11
 lu  71  -0.616799 -0.706799 -0.001685  3.06695E-11 -4.46960E-14  1.07036E-11
 hf  72   0.004580 -0.705419 -0.000305  1.30841E-10  2.94244E-14  4.56635E-11
 ta  73  -0.825166 -0.705166 -0.000051  1.96308E-11 -1.94202E-15  6.85114E-12
  w  74  -0.055635 -0.705635 -0.000521  1.17315E-10 -1.16469E-14  4.09431E-11
 re  75  -0.481871 -0.741871 -0.036756  4.45324E-11 -1.37742E-12  1.55418E-11
 os  76   0.647657 -0.702343  0.002772  6.13036E-10  1.34143E-12  2.13950E-10
 ir  77   0.614889 -0.705111  0.000003  5.74421E-10 -5.70793E-14  2.00473E-10
 pt  78   0.882547 -0.737453 -0.032338  1.07971E-09 -1.07414E-13  3.76818E-10
 au  79   0.094889 -0.705111  0.000003  1.77759E-10 -1.77289E-14  6.20380E-11
 hg  80   0.433271 -0.736729 -0.031614  3.94576E-10 -3.91631E-14  1.37707E-10
 tl  81   0.064888 -0.705112  0.000002  1.72140E-10 -1.70350E-14  6.00770E-11
 pb  82   1.334883 -0.705117 -0.000003  3.24954E-09 -3.24518E-13  1.13409E-09
 bi  83  -0.055111 -0.705111  0.000003  1.33519E-10 -1.33504E-14  4.65982E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.0136   0.0005  -0.0011  -0.0016   0.0011
